Id_site,Name_site,ID,sept-17,oct-17,nov-17,Dec-17,Jan-18,feb-18,Feb-18_UNM,mar-18,Apr-18,may-18,jun-18,jul-18,Aug-18
5PITA,PITA,R15,NA,NA,NA,-8.34,-14.01,-8.92,-8.91,-7.81,-14.97,NA,-11.33,-10.49,-15.28
22CARI,CARIACU,R16,NA,NA,NA,-8.6,-14.74,NA,-8.66,-8.56,-16.38,-21.78,-14.07,-10.06,-14.29
2MAND,MANDURIACU,R12,NA,-5.39,-2.43,-3.18,-6.46,-3.27,-7.9,-3.76,-5.34,-11.91,-3.34,-3.19,-4.65
7ANTI,ANTISANA,R13,NA,-12.34,-17.82,NA,-16.77,NA,NA,-7.33,-18.13,NA,-14.35,-12.89,-12.03
15COCA,COCA,R14,NA,-7.8,-10.13,-4.4,-7.7,-2.34,-2.33,-3.26,-11.33,-16.02,-9.41,-6.97,-5.27
